,Offset,age,Medu,Fedu,freetime,goout,Dalc,Walc,health,absences,Mjob_0,Mjob_1,Mjob_2,Mjob_3,Mjob_4,Fjob_0,Fjob_1,Fjob_2,Fjob_3,Fjob_4,reason_0,reason_1,reason_2,reason_3,G1,G2,G3
18,1,0.20997472854879742,0.4278006610111815,-0.2787680341613449,1.7312677235998488,1.5437595391753545,0.538138217476116,1.3388316577506099,1.0121218925123545,-0.35758723640205586,0,0,0,1,0,0,0,0,1,0,1,0,0,0,8,8,7
19,1,-0.6109505655968028,1.30920583242787,0.6303799767467595,-2.074296214135297,-0.15725903624876267,-0.543136405254532,0.560245863951196,1.0121218925123545,0.5043407726041995,0,1,0,0,0,0,0,1,0,0,0,1,0,0,12,12,12
20,1,-1.431875859742403,1.30920583242787,0.6303799767467595,0.7798767391660624,-1.8582776116728796,-0.543136405254532,-0.9969257236476314,-1.75363435271088,-0.7885512409051836,0,0,0,0,1,0,0,1,0,0,0,0,0,1,12,13,14
21,1,-1.431875859742403,1.30920583242787,1.5395279876548638,0.7798767391660624,-1.0077683239608213,-0.543136405254532,-0.9969257236476314,1.0121218925123545,-0.7885512409051836,0,1,0,0,0,0,1,0,0,0,0,0,1,0,11,12,12
22,1,-0.6109505655968028,1.30920583242787,-0.2787680341613449,1.7312677235998488,-1.8582776116728796,-0.543136405254532,0.560245863951196,1.0121218925123545,-0.7885512409051836,0,0,0,0,1,0,0,1,0,0,1,0,0,0,12,13,14
23,1,-0.6109505655968028,-0.453604510405507,-0.2787680341613449,0.7798767391660624,0.6932502514632959,0.538138217476116,1.3388316577506099,1.0121218925123545,-0.35758723640205586,0,0,1,0,0,0,0,1,0,0,0,0,0,1,10,10,10
24,1,-1.431875859742403,-0.453604510405507,1.5395279876548638,-0.17151424526772402,-1.0077683239608213,-0.543136405254532,-0.9969257236476314,1.0121218925123545,-0.35758723640205586,0,0,0,1,0,0,1,0,0,0,1,0,0,0,10,11,10
25,1,-0.6109505655968028,-0.453604510405507,-0.2787680341613449,-1.1229052297015105,-1.0077683239608213,-0.543136405254532,0.560245863951196,1.0121218925123545,0.5043407726041995,0,0,0,1,0,0,0,0,1,0,0,1,0,0,10,11,12
26,1,-1.431875859742403,-0.453604510405507,-0.2787680341613449,-1.1229052297015105,-1.0077683239608213,-0.543136405254532,-0.21833992984821768,1.0121218925123545,0.9353047771073273,0,0,1,0,0,0,0,1,0,0,0,1,0,0,11,12,12
27,1,-1.431875859742403,1.30920583242787,-0.2787680341613449,-1.1229052297015105,0.6932502514632959,0.538138217476116,1.3388316577506099,-1.75363435271088,-0.7885512409051836,0,1,0,0,0,0,0,0,1,0,0,0,1,0,11,11,11
28,1,-0.6109505655968028,0.4278006610111815,1.5395279876548638,-0.17151424526772402,-0.15725903624876267,-0.543136405254532,-0.9969257236476314,1.0121218925123545,-0.35758723640205586,0,0,0,1,0,0,0,1,0,0,0,1,0,0,12,12,13
29,1,-0.6109505655968028,1.30920583242787,1.5395279876548638,0.7798767391660624,1.5437595391753545,3.78196208566806,2.1174174515500237,1.0121218925123545,0.07337676810107183,0,0,0,0,1,0,0,0,0,1,0,1,0,0,12,11,12
30,1,-1.431875859742403,1.30920583242787,1.5395279876548638,0.7798767391660624,-1.0077683239608213,1.619412840206764,1.3388316577506099,1.0121218925123545,-0.7885512409051836,0,1,0,0,0,0,0,0,1,0,0,1,0,0,10,11,11
31,1,-1.431875859742403,1.30920583242787,1.5395279876548638,-0.17151424526772402,-1.8582776116728796,-0.543136405254532,-0.9969257236476314,1.0121218925123545,-0.35758723640205586,0,0,0,1,0,0,0,0,1,0,0,0,0,1,15,15,15
32,1,-1.431875859742403,1.30920583242787,0.6303799767467595,1.7312677235998488,-1.0077683239608213,-0.543136405254532,-0.9969257236476314,1.0121218925123545,-0.7885512409051836,0,0,0,0,1,1,0,0,0,0,1,0,0,0,13,14,15
33,1,-1.431875859742403,0.4278006610111815,0.6303799767467595,-0.17151424526772402,-1.0077683239608213,-0.543136405254532,-0.9969257236476314,-1.0621952914050714,-0.7885512409051836,0,0,1,0,0,0,0,1,0,0,1,0,0,0,13,12,12
34,1,-0.6109505655968028,0.4278006610111815,-0.2787680341613449,0.7798767391660624,-0.15725903624876267,-0.543136405254532,-0.9969257236476314,1.0121218925123545,0.07337676810107183,0,0,1,0,0,0,0,1,0,0,0,1,0,0,12,12,12
35,1,-1.431875859742403,-0.453604510405507,0.6303799767467595,1.7312677235998488,-1.8582776116728796,-0.543136405254532,-0.9969257236476314,1.0121218925123545,0.07337676810107183,0,0,1,0,0,0,0,1,0,0,0,0,1,0,11,11,11
36,1,-1.431875859742403,1.30920583242787,0.6303799767467595,0.7798767391660624,-0.15725903624876267,-0.543136405254532,-0.9969257236476314,0.32068283120654595,-0.7885512409051836,0,0,0,0,1,0,0,0,1,0,0,1,0,0,14,14,14
37,1,-0.6109505655968028,1.30920583242787,1.5395279876548638,0.7798767391660624,-0.15725903624876267,-0.543136405254532,-0.9969257236476314,1.0121218925123545,0.07337676810107183,0,0,1,0,0,0,0,0,0,1,0,0,0,1,13,13,13
38,1,-1.431875859742403,0.4278006610111815,1.5395279876548638,-0.17151424526772402,-1.0077683239608213,-0.543136405254532,-0.9969257236476314,1.0121218925123545,-0.35758723640205586,0,0,0,1,0,0,1,0,0,0,1,0,0,0,11,12,12
39,1,-1.431875859742403,-0.453604510405507,-0.2787680341613449,-0.17151424526772402,-1.8582776116728796,-0.543136405254532,-0.9969257236476314,-1.0621952914050714,0.9353047771073273,1,0,0,0,0,0,0,1,0,0,0,0,0,1,14,13,12
40,1,-0.6109505655968028,-0.453604510405507,-0.2787680341613449,-0.17151424526772402,-0.15725903624876267,-0.543136405254532,-0.21833992984821768,-0.3707562300992627,2.659160795119838,0,0,1,0,0,0,0,1,0,0,0,1,0,0,11,11,10
41,1,-1.431875859742403,1.30920583242787,1.5395279876548638,0.7798767391660624,-0.15725903624876267,0.538138217476116,1.3388316577506099,1.0121218925123545,0.9353047771073273,0,0,0,0,1,0,0,1,0,0,0,1,0,0,10,11,11
42,1,-1.431875859742403,1.30920583242787,1.5395279876548638,-0.17151424526772402,-0.15725903624876267,-0.543136405254532,-0.9969257236476314,1.0121218925123545,-0.7885512409051836,0,0,0,1,0,0,0,0,0,1,1,0,0,0,14,15,15
43,1,-1.431875859742403,-0.453604510405507,-0.2787680341613449,0.7798767391660624,-1.8582776116728796,-0.543136405254532,-0.9969257236476314,-1.75363435271088,-0.7885512409051836,0,0,0,1,0,0,0,0,1,0,1,0,0,0,9,10,10
44,1,-0.6109505655968028,-0.453604510405507,-0.2787680341613449,-0.17151424526772402,-0.15725903624876267,0.538138217476116,-0.21833992984821768,1.0121218925123545,2.2281967906167104,0,0,1,0,0,1,0,0,0,0,1,0,0,0,10,11,11
45,1,-1.431875859742403,1.30920583242787,0.6303799767467595,-1.1229052297015105,-1.0077683239608213,-0.543136405254532,-0.9969257236476314,1.0121218925123545,0.07337676810107183,0,0,1,0,0,0,0,1,0,0,1,0,0,0,10,11,11
46,1,-0.6109505655968028,0.4278006610111815,0.6303799767467595,-0.17151424526772402,1.5437595391753545,-0.543136405254532,1.3388316577506099,-0.3707562300992627,0.5043407726041995,0,0,1,0,0,0,0,0,1,0,0,1,0,0,13,12,13
47,1,-0.6109505655968028,1.30920583242787,0.6303799767467595,-1.1229052297015105,-1.0077683239608213,-0.543136405254532,-0.9969257236476314,-1.0621952914050714,-0.35758723640205586,0,1,0,0,0,0,0,0,1,0,0,0,0,1,17,17,17
48,1,-1.431875859742403,1.30920583242787,-0.2787680341613449,-0.17151424526772402,-0.15725903624876267,0.538138217476116,-0.21833992984821768,1.0121218925123545,0.07337676810107183,0,0,0,0,1,0,0,1,0,0,0,1,0,0,11,12,13
49,1,-1.431875859742403,1.30920583242787,1.5395279876548638,0.7798767391660624,0.6932502514632959,-0.543136405254532,-0.9969257236476314,-0.3707562300992627,-0.35758723640205586,0,0,0,1,0,0,0,0,0,1,0,0,1,0,13,12,12
50,1,-0.6109505655968028,-0.453604510405507,-0.2787680341613449,-0.17151424526772402,-0.15725903624876267,0.538138217476116,0.560245863951196,0.32068283120654595,-0.7885512409051836,0,0,0,1,0,0,0,0,1,0,1,0,0,0,14,13,13
51,1,-1.431875859742403,1.30920583242787,-0.2787680341613449,-0.17151424526772402,-0.15725903624876267,-0.543136405254532,-0.9969257236476314,1.0121218925123545,-0.7885512409051836,0,1,0,0,0,0,0,1,0,0,0,0,1,0,16,14,16
52,1,-1.431875859742403,1.30920583242787,-0.2787680341613449,1.7312677235998488,1.5437595391753545,1.619412840206764,1.3388316577506099,1.0121218925123545,0.07337676810107183,0,1,0,0,0,0,1,0,0,0,0,0,1,0,10,9,9
53,1,-1.431875859742403,1.30920583242787,1.5395279876548638,-0.17151424526772402,0.6932502514632959,0.538138217476116,0.560245863951196,1.0121218925123545,-0.7885512409051836,0,0,0,1,0,0,0,0,1,0,1,0,0,0,13,12,12
54,1,-1.431875859742403,0.4278006610111815,0.6303799767467595,-0.17151424526772402,0.6932502514632959,2.700687462937412,1.3388316577506099,-1.75363435271088,-0.7885512409051836,0,0,1,0,0,0,0,1,0,0,0,0,1,0,13,12,13
55,1,-0.6109505655968028,-0.453604510405507,-1.1879160450694493,-0.17151424526772402,0.6932502514632959,-0.543136405254532,-0.9969257236476314,-1.0621952914050714,-0.35758723640205586,0,0,1,0,0,0,0,1,0,0,0,0,1,0,12,13,12
56,1,-1.431875859742403,1.30920583242787,0.6303799767467595,-0.17151424526772402,-1.0077683239608213,-0.543136405254532,-0.9969257236476314,-1.75363435271088,-0.7885512409051836,0,0,0,1,0,0,0,0,1,0,0,0,0,1,15,14,15
57,1,-1.431875859742403,1.30920583242787,1.5395279876548638,-1.1229052297015105,-1.0077683239608213,-0.543136405254532,-0.9969257236476314,1.0121218925123545,0.9353047771073273,0,0,0,0,1,0,1,0,0,0,0,0,0,1,15,15,16
58,1,-1.431875859742403,-1.3350096818221955,-0.2787680341613449,-0.17151424526772402,-1.0077683239608213,-0.543136405254532,-0.9969257236476314,1.0121218925123545,-0.7885512409051836,0,0,1,0,0,1,0,0,0,0,0,1,0,0,14,13,14
59,1,-0.6109505655968028,1.30920583242787,-0.2787680341613449,-1.1229052297015105,-0.15725903624876267,-0.543136405254532,-0.9969257236476314,1.0121218925123545,-0.35758723640205586,0,0,0,1,0,0,0,1,0,0,1,0,0,0,16,15,16
60,1,-0.6109505655968028,1.30920583242787,1.5395279876548638,0.7798767391660624,0.6932502514632959,0.538138217476116,0.560245863951196,0.32068283120654595,-0.7885512409051836,0,1,0,0,0,0,0,0,0,1,0,0,1,0,17,16,16
61,1,-0.6109505655968028,-1.3350096818221955,-1.1879160450694493,1.7312677235998488,1.5437595391753545,3.78196208566806,2.1174174515500237,1.0121218925123545,-0.7885512409051836,0,0,0,1,0,0,0,0,1,0,1,0,0,0,10,10,16
62,1,-0.6109505655968028,-1.3350096818221955,-0.2787680341613449,0.7798767391660624,-0.15725903624876267,-0.543136405254532,-0.9969257236476314,-1.75363435271088,-0.7885512409051836,0,0,1,0,0,0,0,0,1,0,0,0,0,1,13,13,10
63,1,-0.6109505655968028,1.30920583242787,0.6303799767467595,0.7798767391660624,0.6932502514632959,0.538138217476116,1.3388316577506099,0.32068283120654595,-0.7885512409051836,0,0,0,0,1,0,1,0,0,0,0,1,0,0,14,13,13
64,1,-1.431875859742403,1.30920583242787,0.6303799767467595,0.7798767391660624,0.6932502514632959,0.538138217476116,1.3388316577506099,-1.0621952914050714,-0.7885512409051836,0,0,0,1,0,0,0,0,1,0,0,0,0,1,13,12,12
65,1,-0.6109505655968028,1.30920583242787,0.6303799767467595,0.7798767391660624,-0.15725903624876267,-0.543136405254532,-0.21833992984821768,-1.75363435271088,-0.35758723640205586,0,0,0,0,1,0,0,0,1,0,1,0,0,0,16,15,16
66,1,-1.431875859742403,1.30920583242787,1.5395279876548638,-0.17151424526772402,-0.15725903624876267,3.78196208566806,2.1174174515500237,-0.3707562300992627,-0.7885512409051836,0,0,1,0,0,0,0,0,1,0,0,0,0,1,11,12,12
67,1,-0.6109505655968028,0.4278006610111815,-1.1879160450694493,-0.17151424526772402,-0.15725903624876267,-0.543136405254532,-0.21833992984821768,1.0121218925123545,-0.7885512409051836,0,0,0,1,0,0,0,1,0,0,1,0,0,0,10,9,10
68,1,-1.431875859742403,-0.453604510405507,-0.2787680341613449,-2.074296214135297,-0.15725903624876267,-0.543136405254532,0.560245863951196,0.32068283120654595,-0.7885512409051836,0,1,0,0,0,0,0,0,1,0,0,0,0,1,11,10,11
69,1,-1.431875859742403,0.4278006610111815,-1.1879160450694493,0.7798767391660624,-1.0077683239608213,0.538138217476116,0.560245863951196,-0.3707562300992627,0.5043407726041995,0,0,1,0,0,0,0,1,0,0,0,0,0,1,15,15,15
70,1,-0.6109505655968028,0.4278006610111815,-1.1879160450694493,-0.17151424526772402,-1.0077683239608213,-0.543136405254532,-0.9969257236476314,1.0121218925123545,-0.35758723640205586,0,0,1,0,0,0,0,1,0,0,0,0,0,1,13,11,11
71,1,-1.431875859742403,1.30920583242787,-0.2787680341613449,-0.17151424526772402,-0.15725903624876267,-0.543136405254532,-0.9969257236476314,-0.3707562300992627,-0.7885512409051836,0,0,1,0,0,0,0,1,0,0,1,0,0,0,11,9,10
72,1,-1.431875859742403,-1.3350096818221955,-1.1879160450694493,-0.17151424526772402,0.6932502514632959,0.538138217476116,1.3388316577506099,1.0121218925123545,-0.35758723640205586,0,0,1,0,0,0,0,1,0,0,0,0,0,1,13,11,11
73,1,-0.6109505655968028,0.4278006610111815,-1.1879160450694493,-0.17151424526772402,-1.0077683239608213,0.538138217476116,-0.21833992984821768,1.0121218925123545,-0.7885512409051836,0,0,1,0,0,0,0,1,0,0,0,0,0,1,13,13,14
74,1,-0.6109505655968028,0.4278006610111815,0.6303799767467595,-0.17151424526772402,-0.15725903624876267,0.538138217476116,1.3388316577506099,1.0121218925123545,0.07337676810107183,0,0,1,0,0,0,0,0,1,0,0,1,0,0,11,11,11
75,1,-1.431875859742403,1.30920583242787,0.6303799767467595,-0.17151424526772402,-0.15725903624876267,0.538138217476116,0.560245863951196,1.0121218925123545,-0.7885512409051836,0,0,0,0,1,0,0,1,0,0,0,1,0,0,11,11,11
76,1,-1.431875859742403,1.30920583242787,-2.0970640559775537,0.7798767391660624,-0.15725903624876267,-0.543136405254532,-0.9969257236476314,-1.75363435271088,-0.7885512409051836,0,0,0,0,1,0,0,1,0,0,1,0,0,0,12,11,11
77,1,-0.6109505655968028,-0.453604510405507,-0.2787680341613449,-1.1229052297015105,-0.15725903624876267,-0.543136405254532,0.560245863951196,-0.3707562300992627,-0.5730692386536197,0,0,1,0,0,0,0,1,0,0,0,0,0,1,13,13,13
78,1,0.20997472854879742,-0.453604510405507,-1.1879160450694493,1.7312677235998488,-1.8582776116728796,-0.543136405254532,-0.9969257236476314,-0.3707562300992627,-0.7885512409051836,0,0,1,0,0,0,0,1,0,0,0,1,0,0,9,9,10
79,1,-0.6109505655968028,0.4278006610111815,1.5395279876548638,0.7798767391660624,-0.15725903624876267,-0.543136405254532,-0.21833992984821768,-0.3707562300992627,2.2281967906167104,1,0,0,0,0,0,0,1,0,0,1,0,0,0,12,11,11
80,1,-1.431875859742403,-0.453604510405507,0.6303799767467595,-1.1229052297015105,-1.0077683239608213,-0.543136405254532,0.560245863951196,-0.3707562300992627,-0.7885512409051836,0,0,1,0,0,0,0,0,1,0,1,0,0,0,11,11,12
81,1,-1.431875859742403,-0.453604510405507,0.6303799767467595,-0.17151424526772402,-1.0077683239608213,-0.543136405254532,-0.21833992984821768,1.0121218925123545,-0.35758723640205586,0,0,1,0,0,0,0,1,0,0,0,1,0,0,10,9,9
82,1,-1.431875859742403,0.4278006610111815,-0.2787680341613449,0.7798767391660624,0.6932502514632959,-0.543136405254532,-0.9969257236476314,1.0121218925123545,0.07337676810107183,0,0,0,1,0,0,0,1,0,0,0,0,0,1,12,11,11
83,1,-1.431875859742403,-0.453604510405507,-0.2787680341613449,-0.17151424526772402,-0.15725903624876267,-0.543136405254532,0.560245863951196,0.32068283120654595,-0.35758723640205586,0,0,0,1,0,0,0,0,1,0,0,1,0,0,13,12,13
84,1,-1.431875859742403,-1.3350096818221955,-1.1879160450694493,-0.17151424526772402,-1.0077683239608213,0.538138217476116,0.560245863951196,0.32068283120654595,-0.35758723640205586,0,0,1,0,0,0,0,1,0,0,0,1,0,0,13,12,12
85,1,-1.431875859742403,1.30920583242787,1.5395279876548638,0.7798767391660624,0.6932502514632959,0.538138217476116,0.560245863951196,1.0121218925123545,0.07337676810107183,0,0,0,1,0,0,0,0,1,0,0,0,0,1,12,11,12
86,1,-0.6109505655968028,-0.453604510405507,-0.2787680341613449,-0.17151424526772402,0.6932502514632959,-0.543136405254532,-0.21833992984821768,-1.0621952914050714,0.5043407726041995,1,0,0,0,0,0,0,1,0,0,1,0,0,0,13,11,11
87,1,-1.431875859742403,1.30920583242787,-0.2787680341613449,-0.17151424526772402,-0.15725903624876267,-0.543136405254532,0.560245863951196,-1.75363435271088,0.07337676810107183,0,0,1,0,0,0,0,1,0,0,0,0,0,1,15,15,15
88,1,-0.6109505655968028,-0.453604510405507,-0.2787680341613449,0.7798767391660624,-1.0077683239608213,-0.543136405254532,-0.9969257236476314,-0.3707562300992627,0.5043407726041995,0,0,0,1,0,0,0,1,0,0,0,0,0,1,12,10,11
89,1,-0.6109505655968028,1.30920583242787,1.5395279876548638,-2.074296214135297,-0.15725903624876267,1.619412840206764,2.1174174515500237,1.0121218925123545,0.5043407726041995,0,0,0,0,1,0,1,0,0,0,0,0,0,1,9,9,10
90,1,-0.6109505655968028,0.4278006610111815,0.6303799767467595,-0.17151424526772402,-0.15725903624876267,-0.543136405254532,0.560245863951196,0.32068283120654595,-0.35758723640205586,0,0,1,0,0,0,0,1,0,0,0,1,0,0,9,11,11
91,1,-1.431875859742403,1.30920583242787,0.6303799767467595,1.7312677235998488,1.5437595391753545,-0.543136405254532,0.560245863951196,-1.75363435271088,0.5043407726041995,0,0,0,1,0,0,0,1,0,0,0,0,0,1,14,13,13
92,1,-0.6109505655968028,0.4278006610111815,-1.1879160450694493,-0.17151424526772402,-0.15725903624876267,0.538138217476116,0.560245863951196,-1.0621952914050714,-0.7885512409051836,0,0,1,0,0,0,0,1,0,0,0,1,0,0,12,13,12
93,1,-0.6109505655968028,1.30920583242787,-0.2787680341613449,-0.17151424526772402,-0.15725903624876267,-0.543136405254532,-0.9969257236476314,-1.75363435271088,-0.35758723640205586,0,0,0,0,1,0,0,0,1,0,0,1,0,0,13,14,14
94,1,-1.431875859742403,-0.453604510405507,-0.2787680341613449,-0.17151424526772402,0.6932502514632959,-0.543136405254532,-0.9969257236476314,0.32068283120654595,-0.35758723640205586,0,0,0,1,0,0,1,0,0,0,0,0,0,1,11,12,12
95,1,-1.431875859742403,-1.3350096818221955,-1.1879160450694493,-2.074296214135297,-1.0077683239608213,-0.543136405254532,-0.9969257236476314,-1.75363435271088,0.07337676810107183,1,0,0,0,0,0,0,1,0,0,0,1,0,0,13,13,13
96,1,-0.6109505655968028,1.30920583242787,0.6303799767467595,-0.17151424526772402,-0.15725903624876267,-0.543136405254532,-0.9969257236476314,0.32068283120654595,0.5043407726041995,0,0,0,1,0,0,0,1,0,0,0,0,0,1,9,11,11
97,1,-0.6109505655968028,-0.453604510405507,-1.1879160450694493,-0.17151424526772402,1.5437595391753545,-0.543136405254532,-0.9969257236476314,1.0121218925123545,-0.7885512409051836,0,0,1,0,0,0,0,1,0,0,1,0,0,0,13,12,12
98,1,-0.6109505655968028,1.30920583242787,1.5395279876548638,-0.17151424526772402,0.6932502514632959,-0.543136405254532,-0.21833992984821768,-1.75363435271088,0.07337676810107183,0,0,1,0,0,0,0,1,0,0,0,0,0,1,12,13,13
99,1,-0.6109505655968028,1.30920583242787,0.6303799767467595,-0.17151424526772402,1.5437595391753545,-0.543136405254532,-0.9969257236476314,-0.3707562300992627,-0.35758723640205586,0,0,1,0,0,1,0,0,0,0,1,0,0,0,12,13,13
100,1,-0.6109505655968028,1.30920583242787,1.5395279876548638,1.7312677235998488,1.5437595391753545,3.78196208566806,2.1174174515500237,0.32068283120654595,1.7972327861135826,0,0,0,1,0,0,0,0,1,0,0,0,1,0,9,9,8
101,1,-0.6109505655968028,1.30920583242787,1.5395279876548638,0.7798767391660624,-0.15725903624876267,-0.543136405254532,-0.9969257236476314,0.32068283120654595,-0.7885512409051836,0,0,0,1,0,0,0,0,0,1,0,0,1,0,16,16,16
102,1,-1.431875859742403,1.30920583242787,1.5395279876548638,-0.17151424526772402,-0.15725903624876267,-0.543136405254532,-0.9969257236476314,1.0121218925123545,-0.35758723640205586,0,0,0,1,0,0,0,1,0,0,1,0,0,0,12,13,12
103,1,-1.431875859742403,0.4278006610111815,-0.2787680341613449,-0.17151424526772402,1.5437595391753545,-0.543136405254532,-0.9969257236476314,-1.0621952914050714,2.659160795119838,0,0,0,1,0,0,0,1,0,0,0,1,0,0,11,10,10
104,1,-1.431875859742403,0.4278006610111815,1.5395279876548638,0.7798767391660624,0.6932502514632959,-0.543136405254532,-0.9969257236476314,-1.75363435271088,-0.7885512409051836,0,0,0,1,0,0,0,1,0,0,1,0,0,0,16,16,16
105,1,-1.431875859742403,0.4278006610111815,0.6303799767467595,-0.17151424526772402,-0.15725903624876267,-0.543136405254532,-0.9969257236476314,0.32068283120654595,1.366268781610455,0,0,1,0,0,0,1,0,0,0,0,0,0,1,10,10,10
106,1,-1.431875859742403,-0.453604510405507,-0.2787680341613449,-2.074296214135297,-1.0077683239608213,-0.543136405254532,-0.9969257236476314,-0.3707562300992627,0.07337676810107183,0,0,1,0,0,0,0,1,0,0,1,0,0,0,10,10,10
107,1,-0.6109505655968028,0.4278006610111815,0.6303799767467595,-0.17151424526772402,-0.15725903624876267,-0.543136405254532,-0.9969257236476314,1.0121218925123545,0.07337676810107183,0,0,0,1,0,0,0,1,0,0,0,1,0,0,13,14,14
108,1,-1.431875859742403,1.30920583242787,1.5395279876548638,-0.17151424526772402,1.5437595391753545,1.619412840206764,2.1174174515500237,-1.75363435271088,0.9353047771073273,0,0,1,0,0,0,0,1,0,0,0,1,0,0,12,10,11
109,1,-0.6109505655968028,1.30920583242787,1.5395279876548638,0.7798767391660624,1.5437595391753545,-0.543136405254532,-0.9969257236476314,0.32068283120654595,-0.35758723640205586,0,1,0,0,0,0,1,0,0,0,0,0,1,0,15,15,14
110,1,-1.431875859742403,1.30920583242787,1.5395279876548638,1.7312677235998488,-0.15725903624876267,-0.543136405254532,-0.9969257236476314,0.32068283120654595,0.07337676810107183,0,0,0,0,1,0,0,0,0,1,1,0,0,0,13,14,14
111,1,-0.6109505655968028,0.4278006610111815,0.6303799767467595,-2.074296214135297,-1.0077683239608213,-0.543136405254532,-0.9969257236476314,-1.0621952914050714,0.07337676810107183,0,0,0,1,0,0,0,1,0,0,0,0,0,1,11,11,11
